날짜,셀퓨전씨,에스네이처,오브제,정샘물뷰티,지베르니,연령대
2024-08-19,34.73108,16.97812,0,38.49134,96.19416,20대
2024-08-26,41.06654,24.11121,0.02278,45.96627,53.73746,20대
2024-09-02,36.80492,27.41567,0.13673,48.19963,39.79033,20대
2024-09-09,27.1422,24.31631,0.04557,37.26071,30.67456,20대
2024-09-16,29.10209,18.71011,0.11394,42.34275,28.12215,20대
2024-09-23,28.55515,20.78395,0.11394,43.04922,53.03099,20대
2024-09-30,27.5752,19.43938,0.02278,39.38012,30.08204,20대
2024-10-07,25.13673,17.59343,0.06836,35.96171,30.19598,20대
2024-10-14,30.19598,19.43938,0.06836,40.61075,28.16773,20대
2024-10-21,29.32999,19.91795,0.11394,41.47675,24.38468,20대
2024-10-28,29.71741,23.45031,0.09115,43.2999,21.103,20대
2024-11-04,35.59708,24.72652,0.22789,54.78577,22.90337,20대
2024-11-11,30.42388,19.5989,0.09115,48.38195,78.57793,20대
2024-11-18,32.13309,19.41659,0.11394,38.37739,19.71285,20대
2024-11-25,29.12488,23.0401,0.02278,42.77575,15.81586,20대
2024-12-02,30.40109,25.34184,0.09115,100.0,16.20328,20대
2024-12-09,26.39015,19.21148,0.09115,44.00638,14.67639,20대
2024-12-16,24.63536,18.80127,0.2051,35.96171,14.38012,20대
2024-12-23,24.49863,17.34275,0.02278,37.96718,12.51139,20대
2024-12-30,24.29352,21.03463,0.02278,32.9535,14.63081,20대
2025-01-06,26.68641,25.68368,0.06836,39.31175,16.84138,20대
2025-01-13,38.58249,22.67547,0.09115,33.95624,17.47948,20대
2025-01-20,32.3154,21.05742,0.22789,36.30355,17.75296,20대
2025-01-27,29.78577,22.99453,0.18231,33.8195,16.18049,20대
2025-02-03,30.87967,23.86052,0.15952,37.12397,18.77848,20대
2025-02-10,30.15041,23.60984,0.31905,44.78122,19.25706,20대
2024-02-05,53.53489,14.20777,0,52.23914,16.09456,30대
2024-02-12,61.94589,16.7538,0.15912,92.79381,21.77767,30대
