날짜,그라운드플랜,셀인샷,쏘내추럴,에스네이처,연령대
2024-11-11,6.98254,18.86949,15.37822,71.48794,20대
2024-11-18,8.22942,33.91521,17.45635,70.82294,20대
2024-11-25,11.30507,43.39152,17.12385,84.0399,20대
2024-12-02,12.80133,35.49459,26.26766,92.43557,20대
2024-12-09,12.80133,28.84455,23.02576,70.07481,20대
2024-12-16,11.72069,29.50955,19.36824,68.57855,20대
2024-12-23,9.64256,17.78886,18.62011,63.25852,20대
2024-12-30,10.72319,19.95012,16.37572,76.72485,20대
2025-01-06,11.47132,24.35577,17.12385,93.68246,20대
2025-01-13,9.80881,17.62261,12.30257,82.70989,20대
2025-01-20,7.48129,13.21695,17.62261,76.80798,20대
2025-01-27,8.1463,13.21695,10.72319,83.87364,20대
2025-02-03,7.06566,28.26267,18.12136,87.03241,20대
2025-02-10,9.80881,28.17955,15.71072,86.11803,20대
2024-02-05,55.908,0,33.7034,49.56383,30대
2024-02-12,44.8057,0,26.0111,58.44567,30대
2024-02-19,47.10547,0,22.3632,54.08406,30대
2024-02-26,63.91752,0,23.31482,70.26169,30대
2024-03-04,69.31007,0.1586,28.23156,69.46867,30대
2024-03-11,59.79381,0,33.94131,48.2157,30대
2024-03-18,45.44012,0,29.9762,53.37034,30대
2024-03-25,44.88501,0,23.47343,54.95638,30대
2024-04-01,64.55194,0.1586,20.38065,61.45915,30대
2024-04-08,47.50198,0,27.43854,65.58287,30대
2024-04-15,52.65662,0.2379,28.39016,63.75892,30대
2024-04-22,38.38223,1.03092,23.47343,54.24266,30대
2024-04-29,46.39175,1.34813,30.68992,60.42823,30대
2024-05-06,55.11498,0.95162,22.75971,68.12053,30대
2024-05-13,56.30452,1.42743,27.83505,65.34496,30대
2024-05-20,53.29103,1.90325,28.62807,69.54797,30대
2024-05-27,55.6701,5.31324,29.50039,75.81284,30대
2024-06-03,62.56938,6.74068,31.95876,70.89611,30대
2024-06-10,66.931,17.36716,39.09595,57.41475,30대
2024-06-17,77.954,18.39809,28.62807,54.24266,30대
2024-06-24,56.78033,16.33624,47.34337,59.71451,30대
2024-07-01,56.78033,20.61855,38.85804,60.34892,30대
2024-07-08,47.81919,10.22997,25.37668,54.87708,30대
2024-07-15,43.37827,9.75416,29.10388,61.53846,30대
2024-07-22,44.88501,8.48532,27.35923,63.2038,30대
2024-07-29,45.51942,7.6923,30.29341,68.19984,30대
2024-08-05,35.76526,6.50277,24.10785,67.24821,30대
2024-08-12,33.7034,6.66137,51.70499,60.58683,30대
2024-08-19,54.24266,9.83346,32.11736,59.63521,30대
2024-08-26,38.38223,22.12529,27.83505,74.46471,30대
2024-09-02,55.98731,14.35368,22.4425,75.49563,30대
2024-09-09,100.0,11.10229,34.73433,71.76843,30대
2024-09-16,52.81522,6.97858,23.47343,55.51149,30대
2024-09-23,37.66851,7.29579,23.31482,62.09357,30대
2024-09-30,26.72482,15.22601,22.60111,58.52498,30대
2024-10-07,31.00713,11.3402,20.93576,57.33544,30대
2024-10-14,30.21411,12.92624,22.04599,66.05868,30대
2024-10-21,36.47898,7.4544,19.11181,66.13798,30대
2024-10-28,36.32038,9.83346,19.03251,70.97541,30대
2024-11-04,34.09992,12.05392,21.49088,74.1475,30대
2024-11-11,33.94131,15.78112,19.34972,58.76288,30대
2024-11-18,40.52339,33.94131,24.26645,66.6931,30대
2024-11-25,48.295,38.62014,24.66296,75.81284,30대
2024-12-02,49.32593,26.56621,48.295,76.05075,30대
2024-12-09,62.88659,24.10785,42.82315,66.21728,30대
2024-12-16,49.00872,26.56621,27.35923,63.83822,30대
2024-12-23,40.04758,19.34972,37.50991,56.78033,30대
2024-12-30,47.66058,14.9088,22.83901,67.0103,30대
2025-01-06,49.72244,18.95321,20.38065,80.80888,30대
2025-01-13,41.31641,18.5567,20.77716,75.25773,30대
2025-01-20,30.84853,13.95717,29.7383,66.7724,30대
2025-01-27,28.86597,11.02299,20.14274,69.23076,30대
2025-02-03,39.57176,21.80808,23.86994,85.09119,30대
2025-02-10,44.4885,17.44647,22.4425,83.10864,30대
