순위,브랜드,제품명,카테고리,평점,리뷰수,가격(円),발매일,url,업로드일,상품ID
1,KANEBO,カネボウ スクラビング マッド ウォッシュ,洗顔フォーム,5.4,クチコミ13358件,2750,2021/3/5,https://www.cosme.net/products/10203762/,2025-02-21 01:48:12,10203762
2,ドクターケイ,ABC-Gピールウォッシュ,洗顔フォーム,5.3,クチコミ1948件,4400,2024/7/30,https://www.cosme.net/products/10257456/,2025-02-21 01:48:12,10257456
3,d プログラム,エッセンスイン クレンジングフォーム,洗顔フォーム,5.3,クチコミ8405件,2090,2020/1/21,https://www.cosme.net/products/10181425/,2025-02-21 01:48:12,10181425
4,ファンケル,やわ肌 ミルク洗顔,その他洗顔料,5.3,クチコミ624件,1650,2024/10/16,https://www.cosme.net/products/10262178/,2025-02-21 01:48:12,10262178
5,LAGOM(ラゴム),ジェルトゥウォーター クレンザー,その他洗顔料,5.1,クチコミ1963件,2750,2019/5/28,https://www.cosme.net/products/10171625/,2025-02-21 01:48:12,10171625
6,SOFINA iP,ポア クリアリング ジェル ウォッシュ,その他洗顔料,4.9,クチコミ4016件,1980,2022/5/21,https://www.cosme.net/products/10221176/,2025-02-21 01:48:12,10221176
7,キュレル,潤浸保湿 泡洗顔料,洗顔フォーム,5.1,クチコミ3062件,2805,2012/9/15 (2023/3/11追加発売),https://www.cosme.net/products/10046695/,2025-02-21 01:48:12,10046695
8,エスト,AC ピュリファイ  マッサージウォッシュ,洗顔フォーム,5.0,クチコミ793件,4950,2024/2/9,https://www.cosme.net/products/10249522/,2025-02-21 01:48:12,10249522
9,エスト,エスト クラリファイイング ジェル ウォッシュ,その他洗顔料,5.1,クチコミ2251件,4950,2022/3/4,https://www.cosme.net/products/10218845/,2025-02-21 01:48:12,10218845
10,オルビス,オルビスユー ドット フォーミングウォッシュ,洗顔フォーム,5.5,クチコミ1942件,2310,2023/8/21,https://www.cosme.net/products/10241917/,2025-02-21 01:48:12,10241917
