날짜,메이크프렘,에스네이처,일리윤,일소,휩드,연령대
2024-07-29,32.86618,22.71699,18.7839,31.19349,39.76039,20대
2024-08-05,33.27305,20.66003,18.42224,30.67359,39.60216,20대
2024-08-12,29.95027,18.35443,21.69981,26.42405,52.12477,20대
2024-08-19,33.04701,16.83996,22.37793,26.85352,53.9783,20대
2024-08-26,37.29656,23.915,23.98282,29.88245,47.26491,20대
2024-09-02,35.05877,27.19258,23.64376,28.93309,50.70072,20대
2024-09-09,23.16907,24.11844,16.90777,23.3047,54.72423,20대
2024-09-16,25.24864,18.55786,19.68806,23.96021,49.59312,20대
2024-09-23,23.3047,20.61482,24.41229,22.83001,41.56871,20대
2024-09-30,25.45207,19.28119,25.54249,15.46112,46.11211,20대
2024-10-07,24.59312,17.45027,26.22061,17.49547,45.63743,20대
2024-10-14,27.75768,19.28119,27.07956,20.38878,39.2405,20대
2024-10-21,26.03978,19.75587,24.50271,17.99276,47.53616,20대
2024-10-28,27.80289,23.25949,30.51537,18.98734,40.61934,20대
2024-11-04,32.4367,24.52531,34.96835,18.94213,60.42043,20대
2024-11-11,25.90415,19.43942,28.14195,18.06057,61.09855,20대
2024-11-18,24.00542,19.25858,38.85623,28.02893,55.28933,20대
2024-11-25,26.76311,22.85262,42.92495,20.34358,46.81283,20대
2024-12-02,28.39059,25.13562,41.63652,34.44846,47.1971,20대
2024-12-09,21.67721,19.05515,36.9575,13.29113,44.19077,20대
2024-12-16,20.18535,18.64828,33.97377,10.96292,50.42947,20대
2024-12-23,17.67631,17.20162,26.78571,10.78209,40.9584,20대
2024-12-30,22.08408,20.86347,32.02983,12.20614,41.61392,20대
2025-01-06,21.45117,25.47468,32.34629,14.28571,49.52531,20대
2025-01-13,21.69981,22.49095,31.66817,13.72061,44.71066,20대
2025-01-20,21.15732,20.88607,24.27667,12.20614,37.68083,20대
2025-01-27,21.81283,22.80741,27.73508,13.78842,40.57414,20대
2025-02-03,27.16998,23.66636,38.22332,14.76039,43.30922,20대
2025-02-10,24.54792,23.41772,35.73688,13.47197,62.81645,20대
2024-02-05,18.86623,14.00403,48.84606,9.43311,52.74479,30대
2024-02-12,24.62469,16.51355,63.14138,9.00739,58.27918,30대
2024-02-19,22.09276,15.2812,55.99372,8.71611,63.23101,30대
2024-02-26,24.80394,19.85211,60.72148,12.12189,44.1183,30대
2024-03-04,24.84875,19.62805,59.87004,14.45216,53.01366,30대
2024-03-11,21.5326,13.62312,61.68496,11.87542,42.7291,30대
2024-03-18,19.85211,15.07954,51.49002,12.48039,47.27761,30대
2024-03-25,22.67533,15.52767,53.01366,12.23392,35.11091,30대
2024-04-01,22.80976,17.365,48.39793,12.59242,41.94488,30대
2024-04-08,22.76495,18.53013,43.40129,11.51691,37.88931,30대
2024-04-15,27.24624,18.01478,48.24109,13.69034,37.39637,30대
2024-04-22,24.71431,15.32601,47.09836,10.26215,36.38807,30대
2024-04-29,25.38651,17.07371,49.71991,12.61483,37.03786,30대
2024-05-06,26.43961,19.24714,47.77055,16.58077,47.9274,30대
2024-05-13,24.91597,18.46291,49.58548,15.10194,41.22787,30대
2024-05-20,27.15662,19.65045,49.22697,14.83307,46.38135,30대
2024-05-27,31.12256,21.42056,48.622,15.9982,40.60049,30대
2024-06-03,28.27694,20.03136,47.34483,16.6928,38.74075,30대
2024-06-10,23.25789,16.22227,52.47591,14.18328,39.34573,30대
2024-06-17,20.70356,15.32601,41.38471,11.98745,43.80461,30대
2024-06-24,22.74254,16.87205,40.9814,17.29778,36.45529,30대
2024-07-01,24.69191,17.05131,43.53573,22.51848,38.15818,30대
2024-07-08,30.78646,15.50526,38.80797,23.99731,100.0,30대
2024-07-15,24.40062,17.3874,36.79139,20.30024,51.91575,30대
2024-07-22,25.76742,17.85794,35.53663,31.68272,36.8362,30대
2024-07-29,28.99395,19.26954,34.90925,24.55747,32.44454,30대
2024-08-05,28.56822,19.00067,35.55904,22.04794,37.10508,30대
2024-08-12,29.48689,17.11853,43.33408,20.27784,47.2552,30대
2024-08-19,28.25453,16.84965,39.39054,21.48778,49.02531,30대
2024-08-26,32.55657,21.03965,41.94488,18.97826,44.40958,30대
2024-09-02,30.65202,21.33094,44.49921,19.96414,43.89424,30대
2024-09-09,19.78489,20.27784,32.37732,16.06542,58.07752,30대
2024-09-16,19.85211,15.68451,37.5084,13.48868,43.98386,30대
2024-09-23,22.20479,17.54425,50.43692,15.46045,40.6453,30대
2024-09-30,23.6388,16.53596,52.52072,11.49451,41.60878,30대
2024-10-07,21.46538,16.19986,58.32399,11.92023,43.80461,30대
2024-10-14,27.71678,18.66457,59.51153,13.64552,42.21375,30대
2024-10-21,23.9749,18.68698,54.26842,11.98745,50.95227,30대
2024-10-28,28.38897,20.05377,58.63768,12.14429,42.01209,30대
2024-11-04,28.76988,20.95003,63.74635,13.51109,57.42773,30대
2024-11-11,25.07282,16.60318,54.40286,10.75509,54.8734,30대
2024-11-18,21.71185,18.84382,65.58368,13.01814,46.33654,30대
2024-11-25,26.77571,21.42056,73.65001,12.21151,41.42953,30대
2024-12-02,26.01389,21.48778,66.88326,23.45955,43.51333,30대
2024-12-09,19.42639,18.70938,69.32556,8.71611,40.26439,30대
2024-12-16,19.60564,18.03719,67.64508,8.40241,49.40622,30대
2024-12-23,17.92516,16.04302,57.00201,9.27627,38.76316,30대
2024-12-30,20.41227,18.93345,66.59197,8.73851,37.23952,30대
2025-01-06,20.70356,22.83217,65.11315,9.85883,51.71409,30대
2025-01-13,19.89693,21.26372,60.85592,9.45552,44.31996,30대
2025-01-20,16.87205,18.86623,48.77884,9.0522,35.76069,30대
2025-01-27,18.7766,19.56083,50.59377,8.40241,36.76898,30대
2025-02-03,22.31682,24.04212,73.65001,9.7244,40.75733,30대
2025-02-10,22.2496,23.48196,78.19852,8.76092,49.00291,30대
2024-02-05,17.87521,15.21922,54.42664,6.36593,34.10623,40대
2024-02-12,24.07251,19.01349,77.44519,8.68465,38.74367,40대
2024-02-19,21.12141,17.28499,60.58178,6.45025,40.38785,40대
2024-02-26,23.90387,16.06239,67.5801,8.68465,27.31871,40대
