플랫폼,브랜드,제품명,중분류_순위,대분류,중분류,소분류,평점,후기 수,가격,URL
화해,카이네,"콤부 밸런싱 앰플 토너 150ml [+화장솜 40P, 로즈마리 클렌져 30ml ]",48,스킨케어,스킨토너,,4.79,420,19800.0,
화해,이니스프리,레티놀 PDRN 스킨부스터 토너 170ml + 기프트 (PDRN 토너 25ml_1개),49,스킨케어,스킨토너,,4.66,100,18750.0,
화해,비플레인,캐모마일 약산성 토너 200ml,50,스킨케어,스킨토너,,4.5,7371,15600.0,
화해,라운드랩,소나무 진정 시카 토너 250ml,51,스킨케어,스킨토너,,4.65,337,20700.0,
화해,일리윤,일리윤 세라마이드 아토 속보습 스킨 250ml,52,스킨케어,스킨토너,,4.6,459,18400.0,
화해,채비공간,병풀추출물 비건토너 150ml,53,스킨케어,스킨토너,,4.61,717,5000.0,
화해,마일드랩,시카아줄렌 히알루론산 에센스 스킨 토너 200ml,54,스킨케어,스킨토너,,4.7,46,15600.0,
화해,"디어,클레어스",서플 프레퍼레이션 언센티드 토너 180ml,55,스킨케어,스킨토너,,4.68,962,19900.0,
화해,수이스킨,어린 새싹 클린 토너 200ml,56,스킨케어,스킨토너,,4.54,2679,13000.0,
화해,코스알엑스,아하/바하 클래리파잉 토너 미스트,57,스킨케어,스킨토너,,4.31,4377,12600.0,
화해,라운드랩,자작나무 수분 토너 300ml,58,스킨케어,스킨토너,,4.5,2350,19200.0,
화해,퓨리피아,메타바이옴 에센스 토너 150ml,59,스킨케어,스킨토너,,4.73,92,19900.0,
화해,넘버즈인,3번 결광가득 에센스 토너 200ml,60,스킨케어,스킨토너,,4.43,510,19200.0,
화해,휘게,오운 비건 카밍 토너 250ml,61,스킨케어,스킨토너,,4.67,1083,15400.0,
화해,마몽드,로즈워터 토너 250ml,62,스킨케어,스킨토너,,4.54,731,12600.0,
화해,메디힐,티트리 진정 수분 토너 350ml+350ml,63,스킨케어,스킨토너,,4.64,202,39000.0,
화해,코스알엑스,풀핏 프로폴리스 시너지 토너 280ml,64,스킨케어,스킨토너,,4.46,2365,15400.0,
화해,라운드랩,약콩 판테놀 토너 250ml,65,스킨케어,스킨토너,,4.74,19,23000.0,
화해,유이크,바이옴 레미디 피에이치 밸런싱 토너 300ml,66,스킨케어,스킨토너,,4.72,288,20800.0,
화해,아누아,복숭아 77 나이아신 에센스 토너 250ml,67,스킨케어,스킨토너,,4.56,48,19900.0,
화해,원씽,나이아신아마이드 10% 토너 300ml (대용량),68,스킨케어,스킨토너,,4.54,962,24800.0,
