순위,브랜드명,상품명,별점,리뷰수,가격,업로드일,대분류,중분류
1,다슈,데일리 유브이 쉴드 골프 패치 5회분,4.65,164,12800,2025-02-20 23:55:56,선케어,선케어기타
2,코스노리,판테놀 베리어 선패치,4.83,12,18000,2025-02-20 23:55:56,선케어,선케어기타
3,메디힐,유브이 컷 아웃도어 선 패치 [와이드프로텍션] 4매입,4.47,179,10900,2025-02-20 23:55:56,선케어,선케어기타
4,메디힐,유브이 컷 아웃도어 선 패치 [트리플프로텍션] 4매입,4.49,185,10900,2025-02-20 23:55:56,선케어,선케어기타
5,프란츠,네이키드 선쉴드 펩타이드 패치 (5회분),4.20,297,19800,2025-02-20 23:55:56,선케어,선케어기타
6,카트린,미네랄 썬킬RX [SPF46/PA+++],3.78,506,24000,2025-02-20 23:55:56,선케어,선케어기타
7,노이프,액티브 선 에어 [SPF50+/PA++++],4.39,199,37000,2025-02-20 23:55:56,선케어,선케어기타
8,파티온,유브이 컨트롤 아웃도어 쿨 마스크,4.54,13,6000,2025-02-20 23:55:56,선케어,선케어기타
9,오휘,데이쉴드 선 파우더 [SPF50+/PA+++] [02 베이지],3.43,23,47000,2025-02-20 23:55:56,선케어,선케어기타
